time_s,demand_MW,actual_MW,q_kg_s,T1_C,T2_C,T3_C,T4_C,T5_C
1300,12.0,11.95140787066029,30.03763082768543,555.3067015789195,531.2229587346791,475.2215761428337,388.4010485085232,315.96217120173736
1310,12.0,11.94665877930115,30.03763082768543,555.2015327631302,531.0001212812947,474.88284585889676,388.1270026505763,315.87399571719516
1320,12.0,11.94188857464083,30.03763082768543,555.0958952790315,530.7768477103532,474.544401272162,387.85368769984683,315.78611737501853
1330,12.0,11.937097263379579,30.03763082768543,554.9897892698795,530.5531409014112,474.20624400545967,387.5811018272654,315.6985351344395
1340,12.0,11.932284852707504,30.03763082768543,554.8832148898343,530.3290037284039,473.868375668101,387.3092432076349,315.611247958485
1350,12.0,11.927451350301522,30.03763082768543,554.7761723038949,530.1044390596165,473.53079785594946,387.03811001962646,315.5242548139627
1360,12.0,11.922596764322476,30.03763082768543,554.6686616878324,529.8794497576573,473.1935121514914,386.7677004457757,315.43755467144655
1370,12.0,11.917721103412081,30.03763082768543,554.5606832281242,529.6540386794301,472.8565201239066,386.4980126724785,315.3511465052623
1380,12.0,11.912824376690034,30.03763082768543,554.4522371218886,529.4282086761074,472.5198233291383,386.22904488998745,315.2650292934735
1390,12.0,11.907906593751033,30.03763082768543,554.3433235768193,529.2019625931042,472.18342330996325,385.96079529240717,315.1792020178673
1400,12.0,11.902967764661842,30.03763082768543,554.2339428111195,528.9753032700521,471.84732159606085,385.69326207769086,315.0936636639401
1410,12.0,11.898007899958364,30.03763082768543,554.1240950534371,528.7482335407732,471.51151970408273,385.42644344763585,315.0084132208838
1420,12.0,11.893027010642676,30.03763082768543,554.0137805427996,528.5207562332549,471.1760191377213,385.1603376078796,314.9234496815716
1430,12.0,11.888025108180171,30.03763082768543,553.902999528549,528.2928741696255,470.8408213877786,384.89494276789577,314.83877204254384
1440,12.0,11.883002204496584,30.03763082768543,553.7917522702771,528.0645901661288,470.5059279322342,384.6302571409897,314.7543793039946
1450,12.0,11.87795831197512,30.03763082768543,553.680039037761,527.8359070331006,470.1713402363136,384.36627894429455,314.6702704697574
1460,12.0,11.872893443453536,30.03763082768543,553.5678601108988,527.6068275749446,469.8370597525555,384.1030063987669,314.58644454729153
1470,12.0,11.867807612221263,30.03763082768543,553.4552157796446,527.3773545901088,469.5030879208793,383.84043772918267,314.50290054766845
1480,12.0,11.862700832016518,30.03763082768543,553.3421063439456,527.1474908710624,469.16942616865214,383.57857116413277,314.41963748555787
1490,12.0,11.857573117023414,30.03763082768543,553.2285321136771,526.9172392042731,468.8360759107556,383.3174049360189,314.33665437921434
1500,12.0,11.997360815428642,30.40501453738503,553.1144934085795,526.6866023701848,468.50303854965205,383.05693728104916,314.2539502504635
1510,12.0,11.992071620078983,30.40501453738503,552.998758981727,526.452879445116,468.16635530347065,382.79398310644655,314.17040292535967
1520,12.0,11.986760763054372,30.40501453738503,552.882549416001,526.2187674669146,467.82999456129977,382.53174039064265,314.0871403341298
1530,12.0,11.981428261047514,30.40501453738503,552.765865072376,525.9842692954137,467.4939577413333,382.27020732464,314.0041614685747
1540,12.0,11.976074131208772,30.40501453738503,552.6487063218935,525.7493877840698,467.1582462490331,382.009382103354,313.9214653242104
1550,12.0,11.970698391143078,30.40501453738503,552.5310735455962,525.5141257799417,466.82286147719753,381.74926292560866,313.8390509002538
1560,12.0,11.965301058906956,30.40501453738503,552.4129671344608,525.278486123668,466.4878048060298,381.4898479941323,313.7569171996089
1570,12.0,11.959882153005474,30.40501453738503,552.2943874893324,525.0424716494465,466.153077603206,381.2311355155532,313.675063228852
1580,12.0,11.954441692389262,30.40501453738503,552.175335020858,524.8060851850123,465.8186812239423,380.97312370039555,313.5934879982182
1590,12.0,11.948979696451485,30.40501453738503,552.0558101494213,524.5693295516177,465.48461701106277,380.7158107630747,313.51219052158706
1600,12.0,11.943496185024882,30.40501453738503,551.9358133050762,524.3322075640115,465.15088629506613,380.4591949218931,313.4311698164687
1610,12.0,11.937991178378763,30.40501453738503,551.8153449274819,524.0947220304192,464.8174903941924,380.2032743990355,313.3504249039899
1620,12.0,11.932464697216044,30.40501453738503,551.6944054658375,523.8568757525236,464.48443061448955,379.948047420565,313.2699548088803
1630,12.0,11.926916762670283,30.40501453738503,551.5729953788168,523.6186715254447,464.1517082498793,379.69351221641824,313.1897585594584
1640,12.0,11.92134739630271,30.40501453738503,551.4511151345034,523.3801121377214,463.8193245822231,379.4396670204011,313.10983518761805
1650,12.0,11.915756620099298,30.40501453738503,551.3287652103261,523.1412003712926,463.48728088138756,379.18651007018406,313.0301837288145
1660,12.0,11.910144456467822,30.40501453738503,551.2059460929939,522.9019390014788,463.15557840530965,378.93403960729785,312.95080322205104
1670,12.0,11.904510928234895,30.40501453738503,551.0826582784325,522.6623307969643,462.82421840006157,378.6822538771287,312.8716927098652
1680,12.0,11.898856058643098,30.40501453738503,550.9589022717191,522.4223785197792,462.4932020999154,378.4311511289139,312.79285123831534
1690,12.0,11.89317987134802,30.40501453738503,550.8346785870192,522.1820849252824,462.1625307274073,378.1807296157372,312.714277856967
1700,12.0,11.88748239041538,30.40501453738503,550.7099877475223,521.9414527621444,461.83220549340155,377.9309875945243,312.6359716188797
1710,12.0,11.881763640318127,30.40501453738503,550.5848302853788,521.7004847723305,461.50222759715433,377.6819233260379,312.55793158059345
1720,12.0,11.876023645933548,30.40501453738503,550.4592067416361,521.4591836910844,461.17259822637703,377.4335350748734,312.4801568021154
1730,12.0,11.870262432540374,30.40501453738503,550.3331176661758,521.2175522469123,460.8433185572995,377.185821109454,312.40264634690664
1740,12.0,11.864480025815947,30.40501453738503,550.2065636176502,520.9755931615671,460.51438975473263,376.9387797020261,312.32539928186895
1750,12.0,11.858676451833318,30.40501453738503,550.07954516342,520.7333091500325,460.1858129721312,376.69240912865456,312.2484146773317
1760,12.0,11.852851737058437,30.40501453738503,549.9520628794912,520.4907029205084,459.857589351656,376.44670766921786,312.17169160703867
1770,12.0,11.847005908347258,30.40501453738503,549.824117350453,520.2477771743957,459.52972002423564,376.2016736074036,312.09522914813493
1780,12.0,11.84113899294295,30.40501453738503,549.6957091694153,520.0045346062817,459.2022061096286,375.9573052307036,312.0190263811541
1790,12.0,11.835251018473048,30.40501453738503,549.5668389379467,519.7609779039262,458.8750487164843,375.71360083040884,311.9430823900051
1800,18.0,17.99340990199064,46.25391340464102,549.4375072660127,519.517109748247,458.5482489424043,375.47055870160506,311.8673962619594
1810,18.0,17.980192864308478,46.25391340464102,549.2475387488603,519.1507180870742,458.055766544598,375.1013149244317,311.7484024310857
1820,18.0,17.966902186656835,46.25391340464102,549.0565077869982,518.7836075250065,457.56406067288043,374.73355878366056,311.6300522625781
1830,18.0,17.953538017200206,46.25391340464102,548.8644164953876,518.4157870215902,457.0731352860765,374.3672850260681,311.5123421706135
1840,18.0,17.94010050694102,46.25391340464102,548.6712670301143,518.0472655046069,456.58299428852115,374.002488410461,311.3952685899652
1850,18.0,17.926589809689247,46.25391340464102,548.4770615879481,517.6780518699525,456.0936415304658,373.639163707714,311.27882797588074
