R_m,H_m,V_m3,surface_m2,mass_kg,K_W_K,UA_top_W_K,energy_upper_MWh
2.25,6.0,95.42587685278997,116.63162726452106,171766.57833502194,1259.0914306965344,105.18052204218628,13.598187451522572
2.25,6.125,97.41391595388976,118.39877313216533,175345.04871700157,1233.3956872129315,106.31149539747861,13.881483023429292
2.25,6.25,99.40195505498954,120.16591899980958,178923.51909898117,1208.727773468673,107.44246875277094,14.16477859533601
2.25,6.375,101.38999415608933,121.93306486745385,182501.9894809608,1185.027228890856,108.57344210806326,14.44807416724273
2.25,6.5,103.37803325718913,123.7002107350981,186080.45986294042,1162.2382437198778,109.70441546335559,14.731369739149452
2.25,6.625,105.36607235828892,125.46735660274237,189658.93024492005,1140.3092202534651,110.83538881864791,15.014665311056172
2.25,6.75,107.3541114593887,127.23450247038662,193237.40062689967,1119.192382841364,111.96636217394024,15.297960882962892
2.25,6.875,109.34215056048849,129.0016483380309,196815.87100887927,1098.8434304260663,113.09733552923257,15.58125645486961
2.25,7.0,111.33018966158829,130.76879420567514,200394.34139085893,1079.2212263113151,114.22830888452489,15.864552026776332
2.25,7.125,113.31822876268808,132.5359400733194,203972.81177283853,1060.2875205865553,115.35928223981722,16.14784759868305
2.25,7.25,115.30626786378787,134.30308594096365,207551.28215481815,1042.0067012660975,116.49025559510953,16.43114317058977
2.25,7.375,117.29430696488767,136.0702318086079,211129.75253679784,1024.3455707361636,117.62122895040186,16.714438742496494
2.25,7.5,119.28234606598745,137.83737767625217,214708.22291877738,1007.2731445572275,118.75220230569418,16.99773431440321
2.25,7.625,121.27038516708724,139.60452354389642,218286.69330075703,990.7604700562894,119.88317566098651,17.281029886309934
2.25,7.75,123.25842426818703,141.3716694115407,221865.1636827367,974.7804624747363,121.01414901627884,17.564325458216654
2.25,7.875,125.24646336928683,143.13881527918494,225443.6340647163,959.307756721169,122.14512237157116,17.847621030123374
2.25,8.0,127.23450247038662,144.9059611468292,229022.1044466959,944.3185730224008,123.27609572686349,18.130916602030094
2.25,8.125,129.2225415714864,146.67310701447346,232600.57482867554,929.7905949759023,124.40706908215581,18.414212173936814
2.25,8.25,131.2105806725862,148.44025288211773,236179.04521065514,915.7028586883886,125.53804243744814,18.69750774584353
2.25,8.375,133.19861977368598,150.20739874976198,239757.51559263477,902.0356518422933,126.66901579274047,18.98080331775025
2.25,8.5,135.1866588747858,151.97454461740625,243335.98597461442,888.7704216681419,127.7999891480328,19.264098889656974
2.25,8.625,137.17469797588558,153.7416904850505,246914.45635659405,875.8896909193282,128.93096250332513,19.547394461563695
2.25,8.75,139.16273707698537,155.50883635269477,250492.92673857365,863.3769810490521,130.06193585861746,19.83069003347041
2.25,8.875,141.15077617808515,157.27598222033902,254071.39712055327,851.2167418793472,131.19290921390976,20.113985605377135
2.25,9.0,143.13881527918494,159.04312808798326,257649.8675025329,839.3942871310229,132.32388256920208,20.397281177283855
2.25,9.125,145.12685438028473,160.81027395562754,261228.3378845125,827.8957352525157,133.45485592449444,20.68057674919057
2.25,9.25,147.1148934813845,162.57741982327178,264806.8082664921,816.7079550464007,134.58582927978674,20.963872321097288
2.25,9.375,149.10293258248433,164.34456569091606,268385.2786484718,805.818515645782,135.7168026350791,21.24716789300402
2.25,9.5,151.09097168358412,166.1117115585603,271963.7490304514,795.2156404399165,136.8477759903714,21.530463464910735
2.25,9.625,153.0790107846839,167.87885742620455,275542.219412431,784.8881645900474,137.97874934566372,21.81375903681745
2.25,9.75,155.0670498857837,169.64600329384882,279120.68979441066,774.8254958132519,139.10972270095604,22.09705460872418
2.25,9.875,157.05508898688348,171.41314916149307,282699.16017639026,765.0175781447298,140.24069605624837,22.380350180630895
