time_s,time_h,demand_MW,actual_MW,q_kg_s,pump_kW,T1_C,T2_C,T3_C,T4_C,T5_C
1880,0.5222222222222223,18.0,0.0,0.0,0.0,535.4964984705183,518.8422614214107,478.5714378376945,415.7271030717867,362.44535519232414
1890,0.525,18.0,0.0,0.0,0.0,535.3333002875348,518.6597200318151,478.4010001200803,415.67584317456743,362.5492425680757
1900,0.5277777777777778,18.0,0.0,0.0,0.0,535.1700732083181,518.477321169035,478.23095078748617,415.6247120931792,362.6525974062199
1910,0.5305555555555556,18.0,0.0,0.0,0.0,535.0068178036755,518.2950650456571,478.06128809479054,415.5737084807617,362.7554219945015
1920,0.5333333333333333,18.0,0.0,0.0,0.0,534.843534643106,518.1129518689772,477.8920103049934,415.52283100136884,362.8577186082336
1930,0.5361111111111111,18.0,0.0,0.0,0.0,534.6802242947864,517.930981841059,477.7231156891794,415.4720783298808,362.9594895103769
1940,0.5388888888888889,18.0,0.0,0.0,0.0,534.5168873255599,517.7491551587908,477.55460252648135,415.4214491519165,363.06073695161854
1950,0.5416666666666666,18.0,0.0,0.0,0.0,534.3535243009229,517.5674720139438,477.38646910404384,415.37094216374686,363.16146317045025
1960,0.5444444444444444,18.0,0.0,0.0,0.0,534.1901357850138,517.3859325932274,477.21871371698717,415.3205560722092,363.26167039324594
1970,0.5472222222222223,18.0,0.0,0.0,0.0,534.0267223406006,517.2045370783463,477.05133466837106,415.2702895946214,363.361360834339
1980,0.55,18.0,0.0,0.0,0.0,533.8632845290696,517.0232856460555,476.88433026915885,415.2201414586979,363.4605366960987
1990,0.5527777777777778,18.0,0.0,0.0,0.0,533.6998229104137,516.8421784682148,476.71769883818183,415.17011040246587,363.5592001690062
2000,0.5555555555555556,18.0,0.0,0.0,0.0,533.5363380432217,516.661215711844,476.5514387021034,415.1201951741816,363.6573534317301
2010,0.5583333333333333,18.0,0.0,0.0,0.0,533.3728304846671,516.4803975391764,476.3855481953837,415.07039453224866,363.7549986512012
2020,0.5611111111111111,18.0,0.0,0.0,0.0,533.2093007904977,516.299724107712,476.2200256602444,415.0207072451358,363.8521379826873
2030,0.5638888888888889,18.0,0.0,0.0,0.0,533.0457495150245,516.1191955702709,476.05486944663335,414.97113209129606,363.94877356986643
2040,0.5666666666666667,18.0,0.0,0.0,0.0,532.8821772111119,515.9388120750451,475.89007791218955,414.92166785908637,364.0449075449008
2050,0.5694444444444444,18.0,0.0,0.0,0.0,532.7185844301677,515.7585737656506,475.7256494222084,414.8723133466878,364.1405420285093
